m,total_distance_mean,fitness_mean,balance_metric_mean,exec_time_mean,converged_gen_mean,convergence_speed_mean,total_distance_std,fitness_std,balance_metric_std,exec_time_std,converged_gen_std,convergence_speed_std
1,1024.8495,35.08673950669289,1024.8495,35.08673950669289,0.0,0.0,11.452620911598206,1.1693540380514809,12.85,4.760307376187957,51.14646064695107,18.133407067667417
2,1209.6884999999997,30.59643069568394,606.481,14.843217093481123,3.2734999999999843,3.6450922665384695,11.526000607013703,1.2032985956926965,10.55,3.677456214630749,25.896514520322675,7.049995369677049
3,1334.0400000000002,38.967538447168785,448.0085,13.054177099183336,6.775999999999968,4.294984100209554,11.521394217014313,0.6046443284539265,12.15,5.402484808425023,15.052704165140415,7.238361432072312
