m,run_id,total_distance,fitness,balance_metric,exec_time,memory_current_MB,memory_peak_MB,converged_gen,convergence_speed
1,1,482.5422268823694,482.5422268823694,0.0,0.7302601337432861,0.006182,0.029129,100,4.377203690456486
1,2,504.31463330117526,504.31463330117526,0.0,0.8333353996276855,0.005672,0.028112,100,3.7295802622178282
1,3,510.3578715247342,510.3578715247342,0.0,0.6199655532836914,0.00575,0.028302,100,3.5200743962949304
1,4,522.7029295912278,522.7029295912278,0.0,0.6542155742645264,0.00534,0.028277,100,3.163593101563573
1,5,535.4358372533037,535.4358372533037,0.0,0.6261539459228516,0.005614,0.028566,100,3.898506079814398
1,6,554.6808937408001,554.6808937408001,0.0,0.6156044006347656,0.005438,0.028662,100,2.677166606353644
1,7,538.5319732395548,538.5319732395548,0.0,0.6035857200622559,0.005448,0.027969,100,3.1781884680295955
1,8,552.6049283383276,552.6049283383276,0.0,0.726062536239624,0.005623,0.028191,100,2.2041747033435457
1,9,473.02912097222514,473.02912097222514,0.0,0.7088828086853027,0.005452,0.028422,100,3.300637205375078
1,10,527.1926181626991,527.1926181626991,0.0,0.7406938076019287,0.005408,0.028129,100,2.7867609408458818
1,11,509.04517477721515,509.04517477721515,0.0,0.7657949924468994,0.005398,0.02864,88,3.7191785536800652
1,12,508.89412578262005,508.89412578262005,0.0,0.6973154544830322,0.00531,0.027486,100,4.150493425492027
1,13,456.6161244667993,456.6161244667993,0.0,0.7669425010681152,0.005582,0.02771,100,3.840894786323844
1,14,514.7176754200035,514.7176754200035,0.0,0.6915204524993896,0.005502,0.028168,76,4.776171844686237
1,15,547.0654144693648,547.0654144693648,0.0,0.7744147777557373,0.005302,0.027422,100,2.1947044289883193
1,16,508.1823323372988,508.1823323372988,0.0,0.749744176864624,0.005534,0.028672,100,2.935988232616004
1,17,447.237152495596,447.237152495596,0.0,0.8616681098937988,0.00555,0.027878,100,2.988188731911703
1,18,556.0691925198465,556.0691925198465,0.0,0.7155976295471191,0.005527,0.029001,100,3.322515884662821
1,19,426.2811128042089,426.2811128042089,0.0,0.6664834022521973,0.005424,0.028506,100,4.99663959813756
1,20,556.3550116456486,556.3550116456486,0.0,0.6648690700531006,0.005476,0.027822,86,2.9251411214618677
2,1,679.0040187229056,343.5387872380278,8.073555753149947,0.7660367488861084,0.005979,0.028323,100,1.7650608796698668
2,2,611.2781887439241,320.9011058409143,30.52402293790442,0.7097983360290527,0.006274,0.02865,100,1.1994940804011656
2,3,664.1112639936769,334.1398854291051,4.168506864533356,0.9796967506408691,0.005182,0.027742,100,1.0283947731056502
2,4,598.7921720828801,314.9644514379987,31.136730793117295,0.9327874183654785,0.005606,0.028022,100,1.5583566546319958
2,5,694.9635160490816,348.81816746286273,2.6728188766438734,0.7226657867431641,0.005462,0.028918,79,1.0411221082852202
2,6,669.4912982525121,360.2762158532982,51.061133454084256,0.6497538089752197,0.005439,0.028559,88,1.7887398622528219
2,7,628.7463797542554,315.813873871841,2.8813679894266215,0.7066969871520996,0.005702,0.029102,87,1.742624304533665
2,8,581.6754872717765,312.6299754389617,43.58446360614687,0.7864601612091064,0.005432,0.028032,92,1.9293617701207169
2,9,643.6995955792704,323.5625059093319,3.4254162393933143,1.242265224456787,0.005726,0.02783,100,1.341969140078832
2,10,600.0002400935396,300.59463348760363,1.1890268816677008,2.433530330657959,0.005473,0.027761,100,1.7094226847828151
2,11,616.7547257168533,310.7239486130836,4.693171509313913,2.3356773853302,0.006359,0.028703,98,1.9807726910620878
2,12,615.4390242734337,313.2985049334424,11.157985593451144,2.1104300022125244,0.005217,0.027673,100,2.131290230801582
2,13,622.5726896257346,321.9750317024839,21.377373779233153,2.251098394393921,0.005584,0.027736,100,1.646587493938734
2,14,671.8126582033599,338.26896669878636,4.725275194212827,2.301363229751587,0.00563,0.027838,100,2.0482209248560195
2,15,651.3770727157544,326.3893155216085,1.4015583274626806,2.2662770748138428,0.006238,0.028414,93,1.9526389481669033
2,16,692.651144986736,350.2483090252667,7.845473063797385,2.2667524814605713,0.005608,0.027712,100,1.7501594837546992
2,17,597.0614120773369,302.7111050347155,8.360797992094092,1.2618122100830078,0.005318,0.027662,100,1.8295239469668
2,18,659.3958068798206,329.70651011688653,0.017213353952513444,0.9747705459594727,0.005606,0.02796,95,1.8300210311920715
2,19,640.9333586398616,323.5477869600516,6.162215280241583,0.7360935211181641,0.005311,0.028,84,2.3220372714056388
