m,trial,total_distance,fitness,balance_metric,exec_time,converged_gen,convergence_speed
1,1,1044.1599999999999,1044.1599999999999,0.0,15.269949436187744,8,75.62125
1,2,969.8300000000004,969.8300000000004,0.0,10.735515832901001,15,40.56733333333327
1,3,1013.0899999999996,1013.0899999999996,0.0,11.428948640823364,7,87.82571428571443
1,4,1043.7000000000007,1043.7000000000007,0.0,11.688562154769897,13,40.448461538461466
1,5,996.16,996.16,0.0,10.326883316040039,15,43.21000000000006
1,6,1019.5900000000001,1019.5900000000001,0.0,11.306303024291992,9,65.011111111111
1,7,1039.15,1039.15,0.0,12.141695022583008,20,30.495500000000014
1,8,993.7300000000001,993.7300000000001,0.0,11.131184339523315,12,52.02499999999997
1,9,1076.2299999999998,1076.2299999999998,0.0,12.495457172393799,15,36.95533333333334
1,10,994.4200000000001,994.4200000000001,0.0,10.461032629013062,17,37.14588235294112
1,11,1081.0200000000002,1081.0200000000002,0.0,10.986140727996826,14,36.280714285714225
1,12,1056.6200000000006,1056.6200000000006,0.0,12.92586350440979,11,47.949999999999925
1,13,1020.2900000000001,1020.2900000000001,0.0,11.57391881942749,10,54.99699999999994
1,14,969.8000000000002,969.8000000000002,0.0,10.50221300125122,20,31.399999999999967
1,15,980.4400000000009,980.4400000000009,0.0,10.914824962615967,14,43.57285714285707
1,16,1007.7299999999998,1007.7299999999998,0.0,11.122361421585083,9,61.39888888888898
1,17,1048.0900000000001,1048.0900000000001,0.0,10.168843030929565,8,68.75499999999994
1,18,1072.36,1072.36,0.0,11.64807653427124,24,22.04916666666665
1,19,1061.8500000000004,1061.8500000000004,0.0,10.312915325164795,8,69.57124999999994
1,20,1008.73,1008.73,0.0,11.911729335784912,8,77.64875
2,1,1180.4999999999998,591.1399999999999,1.7799999999999727,10.801739931106567,13,20.673846153846164
2,2,1178.23,589.3299999999999,0.4299999999998363,11.06611442565918,8,31.692499999999995
2,3,1204.4299999999998,602.86,1.2900000000000773,10.607046127319336,9,27.799999999999994
2,4,1193.07,598.4299999999998,3.7899999999997362,12.982375144958496,9,29.893333333333356
2,5,1177.9499999999998,590.78,3.6100000000001273,10.256186485290527,9,30.50222222222221
2,6,1248.31,625.87,3.42999999999995,11.56221055984497,12,18.824166666666656
2,7,1236.4500000000003,618.3500000000003,0.25000000000034106,11.47739291191101,13,19.00769230769229
2,8,1213.58,606.9700000000001,0.3600000000003547,11.088283777236938,9,26.43666666666666
2,9,1256.43,628.5099999999999,0.5899999999996908,12.677878856658936,12,20.56500000000001
2,10,1206.1100000000001,610.64,15.169999999999845,14.533455610275269,9,30.982222222222227
2,11,1201.9899999999998,602.5699999999999,3.1499999999999773,11.261600255966187,8,32.71875000000003
2,12,1172.8000000000002,587.4300000000001,2.0599999999999454,11.011551856994629,11,23.562727272727248
2,13,1192.2999999999997,599.7899999999998,7.279999999999859,10.321630716323853,6,38.935000000000024
2,14,1250.0299999999997,625.59,1.1500000000002046,11.245993375778198,7,35.025714285714294
2,15,1258.67,629.65,0.6299999999999955,10.789321422576904,14,16.410714285714302
2,16,1168.38,586.8300000000002,5.280000000000086,11.970704078674316,23,11.40478260869564
2,17,1257.11,628.9999999999998,0.8899999999996453,10.775408506393433,10,24.35600000000003
2,18,1201.77,604.7399999999999,7.709999999999695,14.096955299377441,10,24.983000000000004
2,19,1206.9199999999996,603.8399999999999,0.7600000000001046,11.80117154121399,12,20.781666666666677
2,20,1188.7399999999998,597.3000000000001,5.860000000000241,10.192991256713867,7,33.3742857142857
3,1,1339.0600000000002,448.7199999999999,6.9099999999998545,11.961128234863281,11,14.725454545454557
3,2,1300.27,434.51999999999987,2.0699999999998795,10.950481653213501,10,13.049000000000012
3,3,1348.2,456.75,17.910000000000082,11.805899858474731,13,10.397692307692314
3,4,1275.76,427.99999999999994,6.989999999999952,11.262848377227783,20,9.2095
3,5,1306.6200000000001,436.69999999999993,3.059999999999775,11.094595909118652,9,18.04222222222226
3,6,1365.5100000000002,455.63,1.3799999999998818,11.804183006286621,10,14.229000000000008
3,7,1337.43,450.31,6.960000000000093,11.64989185333252,8,16.71624999999998
3,8,1368.0700000000002,459.80000000000007,9.259999999999991,10.942199230194092,6,22.901666666666642
3,9,1370.78,460.15000000000003,5.690000000000055,12.603685140609741,12,13.068333333333342
3,10,1322.3600000000001,443.33000000000004,3.920000000000016,11.045032501220703,14,11.95214285714286
3,11,1346.39,456.95,16.539999999999907,10.418594360351562,8,17.388749999999995
3,12,1383.1099999999997,462.56999999999994,4.360000000000014,11.300971269607544,7,21.988571428571408
3,13,1327.6499999999999,448.07,8.31000000000006,12.735186338424683,16,9.696250000000003
3,14,1385.21,465.04,5.579999999999927,12.317288160324097,22,5.252272727272728
3,15,1231.07,415.5399999999999,9.019999999999868,11.953159093856812,6,33.698333333333316
3,16,1346.7200000000005,451.6300000000001,6.110000000000014,10.71794056892395,25,5.074400000000001
3,17,1374.99,460.2999999999999,3.3999999999998636,11.299583673477173,11,12.297272727272752
3,18,1290.2300000000005,431.35,3.3799999999999386,11.458099126815796,16,9.818125000000002
3,19,1324.0400000000002,447.0100000000001,9.770000000000039,11.617193222045898,13,12.963846153846134
3,20,1337.33,447.8000000000001,4.900000000000148,11.489922761917114,6,28.58499999999995
