m,trial,total_distance,fitness,balance_metric,exec_time,memory_current_MB,memory_peak_MB,converged_gen,convergence_speed
2,20,1128.32,565.1899999999998,2.059999999999718,178.1845188140869,0.909862,1.614242,18,15.368333333333332
3,1,1245.9399999999998,420.9700000000001,10.70999999999998,186.98728132247925,0.8409,1.57305,15,12.292666666666662
3,2,1278.8799999999999,428.39999999999986,1.8200000000001069,183.734028339386,0.658205,1.561313,19,9.566842105263163
3,3,1266.3400000000001,425.3599999999999,4.360000000000014,184.43289160728455,1.012304,1.75331,24,7.927916666666661
3,4,1355.5,457.3299999999999,13.969999999999857,185.72817420959473,0.829755,1.570921,31,4.6609677419354805
3,5,1299.76,434.42999999999995,2.8999999999999773,182.97503805160522,1.052304,1.713521,8,20.790000000000035
3,6,1243.23,416.45,4.17999999999995,185.83912324905396,0.926277,1.590691,17,11.037058823529408
3,7,1245.34,416.02000000000004,2.2100000000000932,187.4391152858734,0.884875,1.571427,11,14.023636363636369
3,8,1302.1599999999999,445.94999999999993,19.920000000000016,188.45614433288574,0.985777,1.649669,20,7.646500000000003
3,9,1306.7099999999998,438.2299999999999,5.869999999999948,186.26499843597412,0.927653,1.592194,14,11.642142857142867
3,10,1305.0200000000002,437.23000000000013,6.130000000000052,183.82671880722046,1.041217,1.70508,11,15.149999999999977
3,11,1265.4399999999998,423.0000000000001,2.400000000000148,182.79754662513733,0.933188,1.597145,12,12.912499999999975
3,12,1290.4499999999998,436.54,6.979999999999961,369.5826494693756,0.938238,1.601485,10,16.557
3,13,1317.5900000000001,445.91,10.320000000000107,346.9072732925415,1.126884,1.796397,19,7.968947368421048
3,14,1291.77,431.26,1.4999999999998863,330.190710067749,0.924865,1.610716,19,8.687894736842102
3,15,1272.51,428.69,10.169999999999675,153.2017650604248,0.982071,1.677561,23,6.886086956521732
3,16,1301.1,434.72999999999996,3.0500000000000114,131.2016761302948,0.928363,1.623661,9,18.964444444444457
3,17,1250.81,420.8199999999999,8.389999999999816,142.45282077789307,0.931315,1.628749,16,11.311250000000012
3,18,1359.6,458.1500000000001,8.899999999999977,184.2039704322815,1.042873,1.747869,35,3.9539999999999997
3,19,1237.7,421.69000000000005,14.009999999999991,125.62538003921509,0.934113,1.64077,21,8.637619047619042
3,20,1290.02,434.84,5.410000000000025,159.85103249549866,0.935677,1.641042,18,9.753888888888888
